LB_TAX_1.0,,false,root,"root"
2,LB_TAX_1.0,false,Health,"Health"
2-0,2,true,General Health,"Health:General Health"
2-5,2,true,Antenatal care,"Health:Antenatal care"
2-6,2,true,Skilled Attendant Delivery,"Health:Skilled Attendant Delivery"
2-19,2,true,Breastfeeding,"Health:Breastfeeding"
2-9,2,true,Nutrition,"Health:Nutrition"
2-8,2,true,Family planning,"Health:Family planning"
2-2,2,true,LLINs and Malaria,"Health:LLINs and Malaria"
2-10,2,true,ORS and zinc,"Health:ORS and zinc"
2-1,2,true,HIV/Aids,"Health:HIV/Aids"
2-7,2,true,Handwashing,"Health:Handwashing"
2-3,2,true,Tuberculosis,"Health:Tuberculosis"
2-11,2,true,Birth Registration,"Health:Birth Registration"
2-12,2,true,Vaccinations,"Health:Vaccinations"
2-4,2,true,Other infectious diseases,"Health:Other infectious diseases"
2-14,2,true,Open Defecation,"Health:Open Defecation"
2-15,2,true,Ebola,"Health:Ebola"
2-16,2,true,Cholera,"Health:Cholera"
2-17,2,true,Health Category Intros,"Health:Health Category Intros"
3,LB_TAX_1.0,false,Education,"Education"
3-0,3,true,General Education,"Education:General Education"
3-1,3,true,Adult Literacy,"Education:Adult Literacy"
3-2,3,true,School Lessons,"Education:School Lessons"
3-10,3,true,Kindergarten Enrollment,"Education:Kindergarten Enrollment"
10,LB_TAX_1.0,false,Society and Culture,"Society and Culture"
10-0,10,true,General Society and Culture,"Society and Culture:General Society and Culture"
10-3,10,true,Early Marriage,"Society and Culture:Early Marriage"
10-2,10,true,Gender,"Society and Culture:Gender"
10-1,10,true,Social Issues,"Society and Culture:Social Issues"
10-4,10,true,Corporal Punishment,"Society and Culture:Corporal Punishment"
10-5,10,true,Child Protection,"Society and Culture:Child Protection"
1,LB_TAX_1.0,false,Agriculture,"Agriculture"
1-0,1,true,General Agriculture,"Agriculture:General Agriculture"
1-1,1,false,Crops,"Agriculture:Crops"
1-1-0,1-1,true,General Crops,"Agriculture:Crops:General Crops"
1-1-1,1-1,true,Maize,"Agriculture:Crops:Maize"
1-1-2,1-1,true,Millet,"Agriculture:Crops:Millet"
1-1-3,1-1,true,Cowpeas,"Agriculture:Crops:Cowpeas"
1-1-4,1-1,true,Groundnuts,"Agriculture:Crops:Groundnuts"
1-1-5,1-1,true,Rice,"Agriculture:Crops:Rice"
1-1-6,1-1,true,Soybeans,"Agriculture:Crops:Soybeans"
1-1-7,1-1,true,Cotton,"Agriculture:Crops:Cotton"
1-3,1,false,Agric Process,"Agriculture:Agric Process"
